alpha3,ranking,economy,usd,note
SUR,150,Suriname,5231,
SLE,151,Sierra Leone,4929,
MNE,152,Montenegro,4428,
TGO,153,Togo,4339,
BRB,154,Barbados,4225,
MRT,155,Mauritania,4163,
FJI,156,Fiji,4028,
SWZ,157,Swaziland,3791,
MWI,158,Malawi,3705,
ERI,159,Eritrea,3444,
GUY,160,Guyana,3076,
BDI,161,Burundi,2718,
ABW,162,Aruba,2584,
MDV,163,Maldives,2300,
LSO,164,Lesotho,2230,
LBR,165,Liberia,1951,
CPV,166,Cape Verde,1888,
BTN,167,Bhutan,1884,
TMP,168,Timor-Leste,1615,
BLZ,169,Belize,1605,
CAF,170,Central African Republic,1538,
DJI,171,Djibouti,1456,
LCA,172,St. Lucia,1332,
SYC,173,Seychelles,1268,
ATG,174,Antigua and Barbuda,1230,
SLB,175,Solomon Islands,1096,
GMB,176,"Gambia, The",914,
GNB,177,Guinea-Bissau,859,
VUT,178,Vanuatu,835,
GRD,179,Grenada,834,
KNA,180,St. Kitts and Nevis,743,
VCT,181,St. Vincent and the Grenadines,726,
WSM,182,Samoa,694,
COM,183,Comoros,657,
DMA,184,Dominica,505,
TON,185,Tonga,466,
FSM,186,"Micronesia, Fed. Sts.",335,
STP,187,São Tomé and Principe,311,
PLW,188,Palau,247,
MHL,189,Marshall Islands,175,
KIR,190,Kiribati,169,
TUV,191,Tuvalu,38,
,,,,
ASM,,American Samoa,..,
ADO,,Andorra,..,
CYM,,Cayman Islands,..,
CHI,,Channel Islands,..,
CUW,,Curaçao,..,
FRO,,Faeroe Islands,..,
PYF,,French Polynesia,..,
GRL,,Greenland,..,
GUM,,Guam,..,
IMY,,Isle of Man,..,
PRK,,"Korea, Dem. Rep.",..,
LIE,,Liechtenstein,..,
MMR,,Myanmar,..,
NCL,,New Caledonia,..,
MNP,,Northern Mariana Islands,..,
SMR,,San Marino,..,
SXM,,Sint Maarten (Dutch part),..,
SOM,,Somalia,..,
MAF,,St. Martin (French part),..,
SYR,,Syrian Arab Republic,..,
TCA,,Turks and Caicos Islands,..,
VIR,,Virgin Islands (U.S.),..,
WBG,,West Bank and Gaza,..,
,,,,
WLD,,World,74899882,
,,,,
LIC,,Low income,574456,
MIC,,Middle income,23900063,
LMC,,  Lower middle income,5235720,
UMC,,  Upper middle income,18660668,
LMY,,Low & middle income,24487857,
EAP,,  East Asia & Pacific,11413001,
ECA,,  Europe & Central Asia,1986214,
LAC,,  Latin America & Caribbean,5654890,
MNA,,  Middle East & North Africa,1489944,
SAS,,  South Asia,2354663,
SSA,,  Sub-Saharan Africa,1592241,
HIC,,High income,50447020,
EMU,,  Euro area,12749928,
